,转债代码,转债余额,申购日期,债券简称,股票代码,正股简称,转股价格,纯债价值,bond_nm,price,stock_id,stock_nm,redeem_dt,volume,评级,redeem_icon,强赎修正,ATR,ma20,ma5,K,D,slope,macd,cci,yj_bias,ATR1,ma201,ma51,K1,D1,SLOPE1,macd1,cci1,yj_bias1,VIX11,zzzf,zgzf,zfc,zfc5,zfc10,正股趋势,正股综合分,转债价格,转债涨跌幅,股价,正股涨跌幅,转股价值,转股溢价率,amount,amount1,转债换手率,转债换手率1,距离转股日,剩余期限,vix,多权价值,期权价值,内在价值,价值溢价,MA20乖离,MA5乖离,绝对乖离,涨幅对标,双低分数,传统双低,五因子分数,强势分数,多因子V1.1,综合分数,溢值分数
0,sz128073,1.287,2019-08-22,哈尔转债,sz002615,哈尔斯,5.55, 100.17,哈尔转债,115.1,002615,哈尔斯,2022-10-27,22820.7,AA-,R,9,0.3636,6.9130,6.6260,22.0899,29.5177,-0.0514,-0.0648,-106.6947,-0.4387,0.3771,6.9665,6.6500,32.4053,30.6185,-0.0425,-0.0589,-135.7913,-0.4811,0.0341,0.2000,-0.1367,-0.0325,0.0019,-0.0143,下跌中,3,113.362,-1.51,6.26,-1.88,112.793,0.00504649,11.5237,34.3444,89.5391,133.428,1022,9,0.0341,13.0942,13.0942,113.264,0.000863633,-0.09445971358310434,-0.05523694536673718,0.09445971358310434,-0.0325,0.730423,0.739482,0.757712,0.764158,0.828676,0.955789,0.910423
1,sh110038,5.819,2017-11-13,济川转债,sh600566,济川药业,22.67, 105.79,济川转债,122.305,600566,济川药业,暂无提示,45738.6,AA,R,0,0.7898,23.5095,26.5300,91.2140,91.8418,0.4813,0.6878,152.3042,-0.7691,0.8190,23.2770,25.7360,92.0866,90.3574,0.4105,0.6580,198.3739,-0.8596,0.0226,0.1654,0.2188,-0.1451,-0.0354,-0.1089,KDJ死叉,3,127.799,4.49,29.06,4.34,128.187,-0.00302707,45.1457,90.8843,77.5832,78.0927,375,375,0.0226,35.3893,35.3893,141.179,-0.0947751,0.2360960462791637,0.09536373916321139,0.2360960462791637,-0.1451,0.894716,0.874377,0.98489,0.991392,0.875926,0.849025,1.12557
2,sz128015,7.792,2017-06-08,久其转债,sz002279,久其软件,5.0, 103.26,久其转债,123.938,002279,久其软件,暂无提示,76092.9,A,,0,0.2755,5.0825,5.7580,80.9026,79.7715,0.0870,0.1174,141.0426,-0.7751,0.2857,5.0235,5.6280,79.5772,79.4154,0.0837,0.1146,166.0836,-0.8804,0.0261,0.1108,0.2365,-0.1870,-0.0223,-0.1557,上涨中,6,123.163,-0.63,5.78,-3.02,115.6,0.0654239,22.4726,98.5655,28.8406,63.2479,217,217,0.0261,23.4037,23.4037,126.664,-0.0276376,0.13723561239547477,0.003820771101076703,0.13723561239547477,-0.187,0.836902,0.758928,0.907191,0.881024,0.839185,0.828349,0.976223
3,sz128066,4.611,2019-04-17,亚泰转债,sz002811,郑中设计,8.77, 100.88,亚泰转债,118.051,002811,郑中设计,暂无提示,5613.47,AA-,,0,0.3386,8.1460,8.3840,90.8414,88.9672,0.0396,0.0573,177.4050,-0.1208,0.3512,8.1510,8.2560,91.0513,81.9981,0.0256,0.0421,230.0672,-1.0518,0.0225,0.0677,0.0047,-0.0130,-0.0297,-0.0585,上涨中,6,119.29,1.05,8.85,3.27,100.912,0.182117,9.57873,15.1922,20.7737,16.4739,895,895,0.0225,21.9069,21.9069,122.787,-0.0284791,0.08642278418855875,0.055582061068702115,0.08642278418855875,-0.013,0.655693,0.776788,0.776864,0.733174,0.772951,0.822542,0.896825
4,sz128037,6.019,2018-03-15,岩土转债,sz002542,中化岩土,3.1, 104.57,岩土转债,124.903,002542,中化岩土,暂无提示,24522.1,AA,,0,0.1552,3.1690,3.4180,73.9726,72.4561,0.0305,0.0310,120.5890,-0.6386,0.1609,3.1435,3.3920,69.8630,76.1146,0.0254,0.0305,140.2009,-0.6989,0.0299,0.0900,0.1528,-0.1178,0.0031,-0.0520,上涨中,6,124.239,-0.53,3.38,-2.59,109.032,0.13947,9.90141,34.4235,16.4503,28.5957,497,497,0.0299,28.4965,28.4965,133.066,-0.066339,0.06658251814452498,-0.011117612638970265,0.06658251814452498,-0.1178,0.799221,0.836135,0.84716,0.879778,0.76622,0.82013,0.988112
5,sh113591,4.775,2020-07-01,胜达转债,sh603687,大胜达,8.74, 98.32,胜达转债,134.404,603687,大胜达,暂无提示,11685.6,AA-,,0,0.4720,10.4470,11.1680,94.0516,91.7203,0.1002,0.1739,109.7422,-0.3808,0.4895,10.3930,10.9940,92.1196,89.0070,0.0580,0.1602,103.6156,-0.7496,0.0294,0.1246,0.1176,-0.0723,-0.0237,-0.1003,上涨中,6,136.351,1.45,11.82,3.68,135.24,0.00821298,16.0607,27.7463,33.6349,29.0537,1336,1336,0.0294,52.7449,52.7449,151.065,-0.0974015,0.13142528955681065,0.05838108882521498,0.13142528955681065,-0.0723,0.819749,0.838861,0.934678,0.954214,0.808377,0.80776,1.10454
6,sz128042,4.154,2018-07-30,凯中转债,sz002823,凯中精密,10.08, 103.23,凯中转债,129.112,002823,凯中精密,暂无提示,11234.5,AA-,,0,0.7640,10.7915,10.9280,54.9333,65.4674,-0.0153,0.0449,31.7533,0.5468,0.7922,10.8420,10.8280,65.6366,72.2113,-0.0295,0.0288,7.0707,0.3200,0.0428,0.1216,-0.0628,0.0626,0.0289,0.0470,均线金叉,7,130.6,1.15,11.33,3.94,112.401,0.161913,27.765,38.9995,66.8393,46.9422,634,634,0.0428,43.9021,43.9021,147.132,-0.112362,0.049900384561923916,0.03678623718887253,0.049900384561923916,0.0626,0.503199,0.862744,0.545746,0.707003,0.624269,0.806158,0.909298
7,sz128033,2.972,2017-12-27,迪龙转债,sz002658,雪迪龙,8.26, 103.14,迪龙转债,127.0,002658,雪迪龙,暂无提示,25450.8,AA,,0,0.3951,8.0260,8.3620,85.8943,87.9576,0.0493,0.0469,172.2710,-0.2611,0.4097,8.0155,8.1700,87.2431,83.4124,0.0244,0.0195,198.2914,-1.4688,0.0351,0.0969,0.0372,-0.0446,-0.0288,-0.0511,KDJ死叉,3,126.1,-0.71,8.53,-1.39,103.269,0.221086,9.35855,34.8093,31.4891,58.5622,419,419,0.0351,26.1027,26.1027,129.243,-0.0243165,0.06279591328183409,0.02009088734752451,0.06279591328183409,-0.0446,0.742153,0.739722,0.840215,0.803119,0.751271,0.79262,0.957127
8,sz127028,5.982,2021-01-05,英特转债,sz000411,英特集团,10.85, 98.70,英特转债,125.848,000411,英特集团,暂无提示,11959.1,AA+,,0,0.4156,10.7885,11.8220,86.1035,85.4035,0.2041,0.1581,71.3525,-0.4999,0.4310,10.7490,11.7900,86.4358,83.3540,0.1973,0.1779,84.4992,-0.5319,0.0261,0.1102,0.0851,-0.0534,0.0068,-0.1369,涨减速,5,127.044,0.95,11.94,0.67,110.046,0.154462,11.0625,23.0216,18.493,19.2424,1524,1524,0.0261,31.0134,31.0134,129.713,-0.0205795,0.10673402233860108,0.00998139062764336,0.10673402233860108,-0.0534,0.804167,0.727916,0.891897,0.853196,0.817623,0.779583,0.984949
9,sz123133,7.198,2021-12-22,佩蒂转债,sz300673,佩蒂股份,17.83, 89.28,佩蒂转债,137.3,300673,佩蒂股份,暂无提示,15318.0,AA-,,0,1.2321,22.5780,23.5420,52.0873,66.3268,0.1364,-0.0619,61.7250,-0.0397,1.2778,22.5600,23.4680,65.9786,78.4954,0.1331,-0.0425,83.6183,-0.3628,0.0396,0.1061,0.0321,-0.0266,-0.0011,-0.0067,下跌中,3,137.155,-0.11,22.83,-1.47,128.043,0.0711667,8.23935,23.5574,11.4467,16.3638,1875,1875,0.0396,55.6119,55.6119,144.892,-0.0533978,0.011161307467446147,-0.030243819556537432,0.011161307467446147,-0.0266,0.705772,0.755185,0.777009,0.839522,0.764239,0.769143,0.98853
